title,brand,price,rating,votes,sales_last_month,image_url,url,has_reviews,category,rank,scraped_at
"Casque Conduction Osseuse, Casque Bluetooth Sans Fil Sport, Casque Running avec HD Micro, Open Ear Casque Etanche IP55 pour la Course à Pied, 8h d'Autonomie, Casque Sans Fil pour Le Jogging, Le vél",Casque,25.99,3.9,5721.0,300.0,https://m.media-amazon.com/images/I/61n7exfxa5L._AC_UL320_.jpg,https://www.amazon.fr/Conduction-Osseuse-Bluetooth-Running-dAutonomie/dp/B0DHCH659Z/ref=sr_1_35,True,Objets connectés,35,2025-06-24 15:18:12.676115
"Ecouteurs Bluetooth sans Fil, Casque Bluetooth 5.3, 50 Heures Contrôle Tactile, 4 ENC Appel Réduction Antibruit Mic, Basses Profondes, Ajustement Confortable, IPX7 Étanche Casque",Ecouteurs,23.98,4.5,16241.0,300.0,https://m.media-amazon.com/images/I/612CWRLMU+L._AC_UL320_.jpg,https://www.amazon.fr/Ecouteurs-Bluetooth-R%C3%A9duction-Ajustement-Confortable/dp/B0CKWZ3N1P/ref=sr_1_36,True,Objets connectés,36,2025-06-24 15:18:12.678374
SANOTO Casque Conduction Osseuse Open Ear Casque Bluetooth sans Fil Sport IPX7 Waterproof and Sweatproof Écouteur Adapté à la Course à Pied Cyclisme Fitness Bureau,SANOTO,49.99,4.2,1779.0,300.0,https://m.media-amazon.com/images/I/513AJLSmNML._AC_UL320_.jpg,https://www.amazon.fr/SANOTO-Conduction-Bluetooth-Waterproof-Sweatproof/dp/B0C858QJD5/ref=sr_1_37,True,Objets connectés,37,2025-06-24 15:18:12.679598
"SHOKZ OpenSwim Casque à Conduction osseuse, Lecteur MP3 de Natation étanche IP68, écouteurs de Sport Oreilles Libres avec 4 GB de mémoire, 8H d'autonomie, Bouchons d'oreilles (sans Bluetooth), Noir",SHOKZ,159.0,4.5,3510.0,100.0,https://m.media-amazon.com/images/I/51OXIZOHm6L._AC_UL320_.jpg,https://www.amazon.fr/SHOKZ-OpenSwimm%EF%BC%8C%C3%89couteur-Conduction-M%C3%A9moire%E3%80%90Non-Bluetooth%E3%80%91/dp/B09CGP8MVH/ref=sr_1_38,True,Objets connectés,38,2025-06-24 15:18:12.681676
"Ecouteurs Bluetooth sans Fil, AOVOCE Casque Bluetooth 5.3 avec 4 ENC Réduction Bruit Mic Écran LED HiFI Son Stéréo 42H Durée Lecture IP6 Étanche Sport Oreillette Contrôle Tactile pour iOS Android Noir",Ecouteurs,20.99,4.4,4728.0,300.0,https://m.media-amazon.com/images/I/7192lowvvhL._AC_UL320_.jpg,https://www.amazon.fr/Ecouteurs-Bluetooth-AOVOCE-R%C3%A9duction-Oreillette/dp/B0CRS19BPP/ref=sr_1_39,True,Objets connectés,39,2025-06-24 15:18:12.687821
"COROS Pace 3 Montre GPS de Sport, légère et Confortable, 17 Jours d'autonomie, Montre de Running GPS Double fréquence, Fréquence Cardiaque, Navigation, Suivi du Sommeil, Course à Pied (Silicon Noire)",COROS,249.0,4.5,1921.0,50.0,https://m.media-amazon.com/images/I/61HE8zhwT7L._AC_UL320_.jpg,https://www.amazon.fr/COROS-Confortable-dautonomie-fr%C3%A9quence-Navigation/dp/B0CFQQ9FDL/ref=sr_1_40,True,Objets connectés,40,2025-06-24 15:18:12.689867
Xilecam Mini Caméra Sport 1080P avec Carte Mémoire 32 Go Mini Camera Accessoires Multifonctions Camera Portable,Xilecam,36.99,3.9,34.0,,https://m.media-amazon.com/images/I/61x0bbCePvL._AC_UL320_.jpg,https://www.amazon.fr/Xilecam-M%C3%A9moire-Accessoires-Multifonctions-Portable/dp/B0FB2PMK88/ref=sr_1_41,True,Objets connectés,41,2025-06-24 15:18:12.691227
"GoPro HERO11 Black Mini - Caméra d'action étanche compacte avec vidéo Ultra HD 5.3K60, Images Fixes 24.7MP, capteur d'image 1/1.9"", Diffusion en Direct, stabilisation",GoPro,199.99,3.7,960.0,50.0,https://m.media-amazon.com/images/I/61x-hCi4V1L._AC_UL320_.jpg,https://www.amazon.fr/GoPro-HERO11-Black-Mini-stabilisation/dp/B0BKNL3F92/ref=sr_1_42_mod_primary_new,True,Objets connectés,42,2025-06-24 15:18:12.692985
"Ecouteurs Bluetooth sans Fil, Casque Bluetooth 5.3, 50 Heures Contrôle Tactile, 4 ENC Appel Réduction Antibruit Mic, Basses Profondes, Ajustement Confortable, IPX7 Étanche Casque（Rose）",Ecouteurs,23.98,4.5,16241.0,300.0,https://m.media-amazon.com/images/I/71-m3Etug6L._AC_UL320_.jpg,https://www.amazon.fr/Ecouteurs-Bluetooth-R%C3%A9duction-Ajustement-Confortable/dp/B0CNGYY5LZ/ref=sr_1_43,True,Objets connectés,43,2025-06-24 15:18:12.695160
"OMRON EVOLV moniteur de tension artérielle, tensiomètre bras sans fil, Bluetooth, validé cliniquement - MAINTENANT avec 6 mois d’abonnement OMRON connect Premium GRATUIT",OMRON,144.9,4.6,1232.0,100.0,https://m.media-amazon.com/images/I/51z4cJalHLL._AC_UL320_.jpg,https://www.amazon.fr/OMRON-tensiom%C3%A8tre-cliniquement-Tensiometre-irr%C3%A9guli%C3%A8res/dp/B01MT54RFU/ref=sr_1_44,True,Objets connectés,44,2025-06-24 15:18:12.697742
