title,brand,price,rating,votes,sales_last_month,image_url,url,prime,category,rank,scraped_at
"HUAWEI Watch GT 2(46mm) Montre Connectée, Autonomie de 2 Semaine, GPS Intégré, 15 Modes de Sport, Suivi du Rythme Cardiaque en Temps Réel, Appels Bluetooth, Sport Noir",HUAWEI,164.99,4.6,21006.0,,https://m.media-amazon.com/images/I/71xNCOg7LWL._AC_UL320_.jpg,,False,Objets connectés,129,2025-06-24 11:52:09.702909
co2CREA Dur Étui de Voyage Rigide Housse Cas pour JBL Charge 4 / JBL Charge 5 Enceinte Bluetooth Portable(boîte Seule)(Noir),co2CREA,16.14,4.7,5548.0,100.0,https://m.media-amazon.com/images/I/81np2hbB4tL._AC_UL320_.jpg,,False,Objets connectés,130,2025-06-24 11:52:09.704392
"SUUNTO Run Montre de Running Femme Homme, 1,32"" Écran Tactile AMOLED, Multisports, Tracker d'Activités, GPS Bi-Band, Suivi Fréquence Cardiaque/Sommeil, Course à Pied, 12 Jours d'Autonomie, Musique",SUUNTO,249.0,4.3,14.0,,https://m.media-amazon.com/images/I/71FMO9f5reL._AC_UL320_.jpg,,False,Objets connectés,131,2025-06-24 11:52:09.705313
"SHPTDJTIC Caméra corporelle 4K, taille pouce, caméra portable avec clip rotatif à 360° et clip magnétique, 120 minutes pour l'enregistrement, prendre pour une conférence, les voyages, la promenade des",SHPTDJTIC,109.0,3.8,52.0,50.0,https://m.media-amazon.com/images/I/719t-Wjq5VL._AC_UL320_.jpg,,False,Objets connectés,132,2025-06-24 11:52:09.706210
"Insta360 GO 3S Pack Action (128 Go) - Petite caméra de vlog 4K, POV Mains Libres, Montage Partout, stabilisation, 140 Min d'autonomie, étanche à 10 m, édition IA, Blanc Arctique",Insta360,473.0,4.3,618.0,,https://m.media-amazon.com/images/I/71iwZfmFgRL._AC_UL320_.jpg,,False,Objets connectés,133,2025-06-24 11:52:09.707034
"TIMNUT Sport Caméra 4K 30FPS avec Carte SD 64G, HD 20 MP Caméra d'action WiFi, Caméra Étanche 40m avec Microphone, Télécommande, 170° Caméras avec 2 batteries Kit d'accessoires pour montage sur casque",TIMNUT,48.29,4.1,627.0,50.0,https://m.media-amazon.com/images/I/71gtKUViyOL._AC_UL320_.jpg,,False,Objets connectés,134,2025-06-24 11:52:09.707855
"SIMOLIO SM-824D1 2,4 GHz Casque TV sans Fil avec émetteur, Casque Audio sans Fil pour Television, Batterie de Rechange, Clarté des Dialogues, Ambient Mode, Optique/RCA/AUX, 100 Pieds, sans Latence",SIMOLIO,109.99,4.2,3997.0,,https://m.media-amazon.com/images/I/51H5CdV98VL._AC_UL320_.jpg,,False,Objets connectés,135,2025-06-24 11:52:09.708992
"AKASO V50 X Caméra de Sport avec Carte Mémoire microSDXC U3 128 Go, Action Camera Sport 4K 30FPS Ultra Full HD Stabilisateur avec Télécommande Écran Tactile Angle Réglable Kit d'Accessoires",AKASO,139.99,4.4,1353.0,,https://m.media-amazon.com/images/I/71JBhO7A0ML._AC_UL320_.jpg,,False,Objets connectés,136,2025-06-24 11:52:09.712237
"Enceinte Portable, MIFA A1 Haut Parleur Bluetooth et IP56 étanche et Anti-Poussière, Temps 15 Heures, Port Micro SD et Microphone Intégré",Enceinte,18.99,4.3,13619.0,50.0,https://m.media-amazon.com/images/I/61mMgrfh2WL._AC_UL320_.jpg,,False,Objets connectés,137,2025-06-24 11:52:09.713663
"Samsung Galaxy Buds3 Écouteurs intra-auriculaires sans fil Bluetooth avec réduction active du bruit (ANC), réduction adaptative du bruit, avec audio à 360°, argenté et étui transparent Anymode",Samsung,111.99,4.1,571.0,50.0,https://m.media-amazon.com/images/I/71KnYAoOUuL._AC_UL320_.jpg,,False,Objets connectés,138,2025-06-24 11:52:09.714832
"BOXSSROG Ecouteurs Bluetooth sans Fil, Casque Bluetooth 5.3 avec 4 ENC Réduction Bruit Mic Écran LED HiFI Son Stéréo 42H Durée Lecture IP6 Étanche Sport Oreillette Contrôle Tactile pour iOS Android",BOXSSROG,9.99,4.5,735.0,50.0,https://m.media-amazon.com/images/I/51m8ppX-QsL._AC_UL320_.jpg,,False,Objets connectés,139,2025-06-24 11:52:09.715672
"PowerLocus Casque Bluetooth Audio stéréo Pliable sans Fil et Filaire avec Micro intégré, Micro SD/TF, FM pour iPhone/Wiko/Samsung/iPad/PC (Noir)",PowerLocus,29.99,4.4,56454.0,50.0,https://m.media-amazon.com/images/I/51KIaY2DphL._AC_UL320_.jpg,,False,Objets connectés,140,2025-06-24 11:52:09.717165
"Soundcore Space One Casque Bletooth sans fil avec Réduction de Bruit Active Adaptative by Anker, Réduction des Voix Humaine 2X Plus Efficace, ANC 46H, Contrôle app, LDAC Hi-Res Wireless Audio, Confort",Soundcore,72.99,4.3,9007.0,,https://m.media-amazon.com/images/I/51udsOwmTcL._AC_UL320_.jpg,,False,Objets connectés,141,2025-06-24 11:52:09.719892
"Amazfit Up OWS Casque Bluetooth 5.3, Écouteurs Ouverts sans Fil avec Contrôle Tactile Facile, Résistant à l'eau IPX4, Réduction du Bruit de Fond AI, Écouteurs compatibles avec Android et iPhone",Amazfit,49.9,4.1,265.0,50.0,https://m.media-amazon.com/images/I/51knK3OKuSL._AC_UL320_.jpg,,False,Objets connectés,142,2025-06-24 11:52:09.720965
"Garmin - fenix 7X, Solar - Montres GPS multisports connectée haute performance - Gray avec bracelet noir – Boitier 51 mm",Garmin,,4.6,4290.0,,https://m.media-amazon.com/images/I/51jkchMsB2L._AC_UL320_.jpg,,False,Objets connectés,143,2025-06-24 11:52:09.721716
"Amazfit Cheetah, 47 mm, Running Montre Intelligente avec GPS Double Bande, Navigation d'itinéraire et Cartes Hors Ligne, Moniteur de Fréquence Cardiaque, Alexa Intégré, Tutonomie de 14 Jours",Amazfit,,4.2,738.0,,https://m.media-amazon.com/images/I/71sb25zbxeL._AC_UL320_.jpg,,False,Objets connectés,144,2025-06-24 11:52:09.722434
"Casque realite virtuelle + Jouet educatif Maths [Calcul Mental, Table de Multiplication…] Lunette 3D de réalité augmentée + Jouet Enfant 5 6...12 Ans [Cadeau Original] Noel - Anniversaire. Jeu VR",Casque,59.0,3.7,7668.0,50.0,https://m.media-amazon.com/images/I/71jdL+szAuL._AC_UL320_.jpg,,False,Objets connectés,145,2025-06-24 11:52:13.838079
"JSVER Housse de Protection pour Meta Quest 3/Quest 3S/Quest 2/Oculus Quest/Oculus Go,Cas Eva Dur Voyage Stockage Sac de Transport pour Quest 3 Virtual Reality Casque Gamepad Jeu Controller Kit",JSVER,22.99,4.4,1185.0,50.0,https://m.media-amazon.com/images/I/61Itfd7rGBL._AC_UL320_.jpg,,False,Objets connectés,146,2025-06-24 11:52:13.839126
"Insta360 X4 Pack Moto pour Guidon - Caméra d'action 360° 8K étanche, vidéo Grand Angle 4K, Effet de Perche à Selfie Invisible, protège-objectifs Amovibles, 135 Min d'autonomie, édition IA",Insta360,520.0,4.5,685.0,,https://m.media-amazon.com/images/I/61jHF5E4xJL._AC_UL320_.jpg,,False,Objets connectés,147,2025-06-24 11:52:13.840070
"GoPro Max — Caméra d'action Traditionnelle étanche 360 ​​+ avec écran Tactile sphérique 5.6K30 vidéo HD 16,6 MP 360 Photos 1080p stabilisation de Diffusion en Direct",GoPro,395.78,4.4,402.0,,https://m.media-amazon.com/images/I/61igplXIVkL._AC_UL320_.jpg,,False,Objets connectés,148,2025-06-24 11:52:13.841355
Polar Pacer Black S-L,Polar,156.5,4.1,835.0,,https://m.media-amazon.com/images/I/71tupNnGEVL._AC_UL320_.jpg,,False,Objets connectés,149,2025-06-24 11:52:13.842331
"Samsung Galaxy Buds3 Écouteurs intra-auriculaires sans fil Bluetooth avec réduction active du bruit (ANC), réduction adaptative du bruit, audio à 360°, blanc",Samsung,84.46,4.1,571.0,,https://m.media-amazon.com/images/I/614xMQWGAuL._AC_UL320_.jpg,,False,Objets connectés,150,2025-06-24 11:52:13.843470
"Pèse-personne intelligent Bluetooth OMRON VIVA, avec moniteur de composition : masse graisseuse, graisse viscérale, masse de muscles squelettiques, métabolisme au repos et IMC",Pèse-personne,71.99,4.3,3269.0,50.0,https://m.media-amazon.com/images/I/51r20jeU8NL._AC_UL320_.jpg,,False,Objets connectés,151,2025-06-24 11:52:13.844928
"Bundle DJI Osmo Action 4 Plongée - Caméra d’action étanche, vidéo sous-marine, poignée flottante et boîtier étanche à 60 m, D-Log M 10 bits, capteur 1/1,3 pouce, HorizonSteady 360º, Caméra de vlogging",Bundle,328.0,4.4,4096.0,,https://m.media-amazon.com/images/I/71FtbzOoxBL._AC_UL320_.jpg,,False,Objets connectés,152,2025-06-24 11:52:13.846202
"iHealth Track - Tensiomètre Bras pour Mesure Tension Artérielle, Pouls - 99 Mémoires - Affichage 3 Couleurs sur Écran LCD, Brassard Longue Portée - Dispositif Médical Bluetooth iOS, Android",iHealth,39.99,4.4,44434.0,50.0,https://m.media-amazon.com/images/I/71c05T2jWmL._AC_UL320_.jpg,,False,Objets connectés,153,2025-06-24 11:52:13.847370
